id,text,screen_name,time
726439823284785152,Novartis AG $NVS Forecasted to Earn FY2016 Earnings of $4.94 Per Share https://t.co/o8I9Xsttyh,AmericanBanking,Sat Apr 30 15:55:25 +0000 2016
726423495459004421,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/tEHX12GBQI $AZN $PFE $MDVN $NVS",MKucala,Sat Apr 30 14:50:32 +0000 2016
726402496239796224,Why Inflectra may face greater challenges than Zarxio in winning over US docs https://t.co/FYad6OaTWJ $PFE $NVS,BioPharmaDive,Sat Apr 30 13:27:05 +0000 2016
726272451764609024,https://t.co/G9pMgSr1JY &lt; Review of this fantastic traders teaching service!! Try it for FREE! $LLY $DGX $MRK $NVS $AMGN,PorschePicks,Sat Apr 30 04:50:20 +0000 2016
726194986425978880,FY2016 EPS Estimates for Novartis AG $NVS Reduced by Analyst https://t.co/up6PMWOoYq,WKRBNews,Fri Apr 29 23:42:31 +0000 2016
726147311152189440,Intellia Therapeutics on deck for IPO https://t.co/5LiEqVqnjC $NTLA $NVS $EDIT,SEEKINGALPHA_FS,Fri Apr 29 20:33:04 +0000 2016
726147309986172928,Intellia Therapeutics on deck for IPO https://t.co/YSdTBXcdb2 $NTLA $NVS $EDIT,SA_HealthInvest,Fri Apr 29 20:33:04 +0000 2016
726147308698521600,Intellia Therapeutics on deck for IPO https://t.co/RUNTVlwiKH $NTLA $NVS $EDIT,SA_IPOWatch,Fri Apr 29 20:33:04 +0000 2016
726147307272445952,Intellia Therapeutics on deck for IPO https://t.co/lnCMy96cLQ $NTLA $NVS $EDIT,MarketCurrents,Fri Apr 29 20:33:03 +0000 2016
726145197571080192,Healthcare ratings $MDT $CPXX $CLBS $PODD $ALXN $RMD $SYK $JAZZ $RIGL $NVS $MOH $STJ $SRCL $SRPT $PRGO $TROV $CYH https://t.co/shKFNwuaTN,JorelLaraKalel,Fri Apr 29 20:24:40 +0000 2016
726142818834591744,Healthcare ratings roundup $MDT $CPXX $CLBS $PODD $ALXN $RMD $SYK $JAZZ $RIGL $NVS https://t.co/qwALFBu5fi,Greg5thTrad,Fri Apr 29 20:15:13 +0000 2016
726139321225383936,"RECAP 4/29 Chatter:
$KMB $LAKE $HYH - Neg 60 minutes?
$HIVE - Dell
$MDVN - $AZN $PFE $NVS
$TRUE - $AN resume",OpenOutcrier,Fri Apr 29 20:01:19 +0000 2016
726126296955150337,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/i7x5QqUQwu $AZN $PFE $MDVN $NVS",SEEKINGALPHA_FS,Fri Apr 29 19:09:34 +0000 2016
726126295751397376,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/2481qooX2d $AZN $PFE $MDVN $NVS",SA_HealthInvest,Fri Apr 29 19:09:34 +0000 2016
726126294551785472,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/NzJnfjMAFl $AZN $PFE $MDVN $NVS",SA_Mergers,Fri Apr 29 19:09:34 +0000 2016
726126292794400768,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/vvRHTZldTY $AZN $PFE $MDVN $NVS",StocksMove_SA,Fri Apr 29 19:09:33 +0000 2016
726126291393478656,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/GdMfhhY7pw $AZN $PFE $MDVN $NVS",MarketCurrents,Fri Apr 29 19:09:33 +0000 2016
726114476575977472,Unicorn Bay rating for $NVS is 4.09 out of 5. https://t.co/9crCzuGOxK,1MinuteStock,Fri Apr 29 18:22:36 +0000 2016
726113841633845249,"$GILD scoop up $OPHT, before $REGN does ( or ex-US PN $NVS #Roche)",pbmech,Fri Apr 29 18:20:05 +0000 2016
726102441767235584,StockTwits Trending Alert: Trading recent interest in NOVARTIS $NVS https://t.co/SlwvJlqZ0P https://t.co/RNoZK1sRss,QuantchaIdeas,Fri Apr 29 17:34:47 +0000 2016
726096682107154433,"$NVS sentiment rise to: 0.85, change: +0.63, sdr: 1.17, 1H, 1:00 PM, #nyse",am_alerts,Fri Apr 29 17:11:53 +0000 2016
726095353112469504,Wondering about risks of $NVS? The 63-day volatility is 8.73% https://t.co/BqeWsK3xHj,1MinuteStock,Fri Apr 29 17:06:37 +0000 2016
726094716593311745,#Novartis: CHMP Adopts Positive Opinion For Afinitor. Read more: https://t.co/SdiKkUaG2G $NVS,pharma_sector,Fri Apr 29 17:04:05 +0000 2016
726090931628204036,Novartis’ new melanoma combo gains NICE nod https://t.co/21zHnCl1FT $NVS #pharma by @PharmaceuticBen,FiercePharma,Fri Apr 29 16:49:02 +0000 2016
726087009706467329,"$MDVN Chatter Company is seeking $65/sh and $AZN $PFE $NVS all weighing bids, unconfirmed",OpenOutcrier,Fri Apr 29 16:33:27 +0000 2016
726086084346531840,$MDVN +3% $58.00 LONG acquisition bidding $NVS,bullriders1,Fri Apr 29 16:29:47 +0000 2016
726086056819326976,$MDVN lots of recent CALL Activity inname .. now $NVS jumping into the playing field with possible interest,TheTradeXchange,Fri Apr 29 16:29:40 +0000 2016
726085804062183425,$MDVN reports that $NVS $PFE $AZN said to be considering bids,d4ytrad3,Fri Apr 29 16:28:40 +0000 2016
726085798445998081,$MDVN Popping.  Hearing $NVS weighing bid.,OpenOutcrier,Fri Apr 29 16:28:39 +0000 2016
726043852616814593,$NVS: Novartis confirms Afinitor recommended by CHMP for European Union approval to treat select GI and lung... https://t.co/Xe4NnbQMar,Briefingcom,Fri Apr 29 13:41:58 +0000 2016
726035570049310720,"GlaxoSmithKline Q1 Earnings Lag, Revenues Up Y/Y $EBS $GSK $NVS $ANIK https://t.co/iNp7Zfkyq3",TalkMarkets,Fri Apr 29 13:09:03 +0000 2016
726010554876207104,Lupin to co-market #Novartis' asthma drug in India. Read more: https://t.co/wVllCMSTkc $NVS,pharma_sector,Fri Apr 29 11:29:39 +0000 2016
726007846471634944,"With CRISPR in Humans On The Horizon, Will the Public Back Intellia? $NTLA $EDIT $NVS $REGN $SGMO
https://t.co/cWvZO3zGHc",RNA_Biotech,Fri Apr 29 11:18:53 +0000 2016
725944969643462659,"GlaxoSmithKline Q1 Earnings Lag, Revenues Up Y/Y $EBS $GSK $NVS $ANIK https://t.co/NHJfMVnO8u",MarketsRecap,Fri Apr 29 07:09:02 +0000 2016
725851657020555265,"GlaxoSmithKline Q1 Earnings Lag, Revenues Up Y/Y $EBS $GSK $NVS $ANIK https://t.co/iNp7Zfkyq3",TalkMarkets,Fri Apr 29 00:58:15 +0000 2016
725819223751151616,Bearish Doji https://t.co/k7RHqcf3x0 $QSR $CJES $QLIK $WLL $FTI $SJNK $PAGP $FCX $AFL $DRE $HLT $AKS $RIG $NVS $NVAX $RIO $EVHC,DailyStockPlays,Thu Apr 28 22:49:22 +0000 2016
725782227708088321,"You mean to tell me that $KITE, $JUNO &amp; $NVS are all not registered, @FDACBER? I was worried about submitting mine. https://t.co/x4Q7DSTh5v",sesiegler,Thu Apr 28 20:22:22 +0000 2016
725754530453823488,"Trending #Biotech topics include $MDVN, $NVS, $SNY #stocks #invest See more https://t.co/EpbbdqDEG1",trendcache,Thu Apr 28 18:32:18 +0000 2016
725753209227202560,Aduro Biotech: Set To #STING Tumors With New #Immunotherapy https://t.co/sKIZwSQAEU $ADRO $NVS #CDN #GVAX #cancer https://t.co/fXd4MYvDOi,PiescheM,Thu Apr 28 18:27:03 +0000 2016
725738505557540864,US Breakthrough designations granted for #Novartis' Ilaris for rare periodic fever syndromes. Read more: https://t.co/lrqw5Tf2bf $NVS,pharma_sector,Thu Apr 28 17:28:37 +0000 2016
725721982629646336,"$ADRO $NVS $JNJ not inhibitor, but STING agonist. https://t.co/usL4juNLLE",momomonitor,Thu Apr 28 16:22:58 +0000 2016
725718232087203840,$ADRO STING pathway inhibitor will most likely be important cog in the cocktails needed to fight cancers. Strong collabs w/ $NVS and $JNJ.,momomonitor,Thu Apr 28 16:08:04 +0000 2016
725711890295459842,"Insulin, the thing keeping us alive, is too expensive. $ESRX $LLY $NVS $SNY https://t.co/RAN7S87S1H",CaeXFinance,Thu Apr 28 15:42:52 +0000 2016
725674112077684736,Novartis AG $NVS Shares Bought by People s United Financial Inc. https://t.co/iv2FMk2FyI,SleekMoneycom,Thu Apr 28 13:12:45 +0000 2016
725612407414919168,#Novartis Puts US$14B Roche Stake Up For Sale. Read more: https://t.co/S5qUljdVSB $NVS,pharma_sector,Thu Apr 28 09:07:33 +0000 2016
725611165103976448,#Novartis' Ilaris wins three FDA breakthrough designations to treat periodic fever syndromes. Read more: https://t.co/VyTqqBOT42 $NVS,pharma_sector,Thu Apr 28 09:02:37 +0000 2016
725600142246576128,#Novartis celebrates 20th annual Community Partnership Day with more than 27500 associates v... Read more: https://t.co/MlXxsyVBsX $NVS,pharma_sector,Thu Apr 28 08:18:49 +0000 2016
725599986948276224,#Novartis International AG: Novartis celebrates 20th annual Community Partnership Day with m... Read more: https://t.co/1e9tvCourb $NVS,pharma_sector,Thu Apr 28 08:18:12 +0000 2016
725500119601287168,Bright future ahead for biosimilars -- the biologics approaching patent expiration are still being studied in combo. w new drugs $EPRS $NVS,harnek,Thu Apr 28 01:41:22 +0000 2016
725420486163894272,$NVS GlaxoSmithKline Sees First-Quarter Profit Fall… https://t.co/1GXZzadLdF,NASDAQODUK,Wed Apr 27 20:24:56 +0000 2016
725416715920769025,$ADAP and $NVS own the best manufacturing process for persistent T-Cells to ensure long-term immune responses https://t.co/9xmyYWGklr,dhovekamp42,Wed Apr 27 20:09:57 +0000 2016
725414633708867587,#CRISPR Firm #Intellia will go public with an IPO at $16 to $18 per share $REGN $NVS https://t.co/8zLlhZO4ya by @genomeweb,ARKgenome,Wed Apr 27 20:01:40 +0000 2016
725412774755635200,Why Inflectra may face greater challenges than Zarxio in winning over US docs https://t.co/FYad6Osvlj $PFE $NVS,BioPharmaDive,Wed Apr 27 19:54:17 +0000 2016
725411336478322688,#Novartis granted three Breakthrough designations for Ilaris. Read more: https://t.co/MmIMdk38cT $NVS,pharma_sector,Wed Apr 27 19:48:34 +0000 2016
725406962838589440,$NVS awarded three BTD tags for Ilaris for rare types of autoinflammatory disorders https://t.co/1PUaCKm3At by @SeekingAlpha,ARKgenome,Wed Apr 27 19:31:12 +0000 2016
725405391501312000,Chain of custody from Phase 1 to commercial manufacturing from $NVS. @Novartis https://t.co/r0tlVq5MTr,sesiegler,Wed Apr 27 19:24:57 +0000 2016
725405104904540161,An interesting view of tech transfer from $NVS/@Penn.  @Novartis https://t.co/Q19Tb2JVMW,sesiegler,Wed Apr 27 19:23:49 +0000 2016
725400386547273728,"With NICE backing, Novartis' Entresto sees more European love https://t.co/Xio8ezvByK $NVS #pharma by @TracyStaton",FiercePharma,Wed Apr 27 19:05:04 +0000 2016
725372519188975616,Novartis AG $NVS Raised to “Equal Weight” at Barclays https://t.co/Zyd19MQ57t,WKRBNews,Wed Apr 27 17:14:20 +0000 2016
725371631120617473,Novartis AG $NVS Raised to “Equal Weight” at Barclays https://t.co/jKDX5NrjWw,TickerReport,Wed Apr 27 17:10:48 +0000 2016
725371082673426432,Novartis AG $NVS Raised to “Equal Weight” at Barclays https://t.co/vEABmEfGBA,AmericanBanking,Wed Apr 27 17:08:37 +0000 2016
725343807634575360,Sunovion's COPD candidate successful in 2 late-stage studies $NVS,BursatilBiotech,Wed Apr 27 15:20:14 +0000 2016
725342264432558081,Sunovion's COPD candidate successful in two late-stage studies; NDA planned https://t.co/9mlqute9Me $AZN $GSK $MYL $NVS,SEEKINGALPHA_FS,Wed Apr 27 15:14:06 +0000 2016
725342263019065344,Sunovion's COPD candidate successful in two late-stage studies; NDA planned https://t.co/kwngell0Ju $AZN $GSK $MYL $NVS,SA_HealthInvest,Wed Apr 27 15:14:06 +0000 2016
725342261517504512,Sunovion's COPD candidate successful in two late-stage studies; NDA planned https://t.co/1zG6Q7uOPb $AZN $GSK $MYL $NVS,MarketCurrents,Wed Apr 27 15:14:06 +0000 2016
725332099662749697,$GNVC Volatile as heck here; thought surely price was about to rocket over a buck; off hold news soon on hearing loss gene therapy w/ $NVS ?,Melikeitalot,Wed Apr 27 14:33:43 +0000 2016
725328875312443392,"#Novartis AG Granted Three Breakthrough Badges for Ilaris

  . Read more: https://t.co/Nt6Db7vwau $NVS",pharma_sector,Wed Apr 27 14:20:54 +0000 2016
725328836578013184,$NVS FDA grants BTDs for Ilaris https://t.co/ocUii4Gzkk,DrKanakKantiDe,Wed Apr 27 14:20:45 +0000 2016
725327267912667136,This is one area where my company and $NVS are on the same page.  Pricing is a different story. https://t.co/dvE24SL7qt,sesiegler,Wed Apr 27 14:14:31 +0000 2016
725320630661439488,$NVS spends 23% on R&amp;D. $VRX spends 8%. Different ball games,BioWriterChik,Wed Apr 27 13:48:08 +0000 2016
725320385038827520,.@lisamjarvis @Penn @StJude It looks like $NVS/@Penn should owe @StJude/Campana/$JUNO way more than was paid out for the settlement.,sesiegler,Wed Apr 27 13:47:10 +0000 2016
725319958775881728,"$NVS Jimenez: Worry about a world where not as much incentive to invest in R&amp;D, resulting in &lt;breakthrus #WMIF16",lisamjarvis,Wed Apr 27 13:45:28 +0000 2016
725319708421955584,.@lisamjarvis Can you ask about all of the CAR T patent apps that are licensed to $NVS from @penn in China ONLY?  I have a list of the apps.,sesiegler,Wed Apr 27 13:44:28 +0000 2016
id,text,screen_name,time
727212308968136705,Colombia gets compulsory license to override $NVS's Gleevec patent https://t.co/CrfKSGUdSY by @Pharmalot https://t.co/D69pFV3Dw2,ARKgenome,Mon May 02 19:05:00 +0000 2016
727187793735221248,$MDVN is the new darling of #Pharma companies! $SNY $PFE $AZN &amp; $NVS are interested! Who at the end will win #Xtandi for prostate #cancer?!,drfranktarazi,Mon May 02 17:27:35 +0000 2016
727154339480002560,"Five things for #pharma #marketers to know: Monday, May 2 #drugprices #FDA #Parkinsons $NVS https://t.co/K5vbyU3xEy https://t.co/RnXqDDpSFz",MMMnews,Mon May 02 15:14:39 +0000 2016
727153752256471040,#CRISPR Firm #Intellia will go public with an IPO at $16 to $18 per share $REGN $NVS https://t.co/gduthVq32G by @genomeweb,ARKgenome,Mon May 02 15:12:19 +0000 2016
727145584474263552,definite back-up value as an NOL shell at about half current price if $NVS trial fails. @schaudenfraud,capital1point1,Mon May 02 14:39:51 +0000 2016
727145185239396352,$20 mil mkt cap. Gene therapy (inner ear injection) for severe sensory-neural hearing loss partnered to $NVS. good CEO. @schaudenfraud,capital1point1,Mon May 02 14:38:16 +0000 2016
727139340766212097,"NFLX 52Wk Low
See Here ---&gt; https://t.co/112xL9XgVS

$NFLX $CHNR $NVS #pennystocks",kingtin1978,Mon May 02 14:15:03 +0000 2016
727131486797725696,Why I Bought Friday's Dip In Amgen https://t.co/i7rbgVk9qB $ABBV $JNJ $NVS $PFE $SNY $SPY $AMGN,SA_BioTech,Mon May 02 13:43:50 +0000 2016
727131485422018560,Why I Bought Friday's Dip In Amgen https://t.co/Vmu0w4DXs9 $ABBV $JNJ $NVS $PFE $SNY $SPY $AMGN,SA_HealthInvest,Mon May 02 13:43:50 +0000 2016
727131483329024000,Why I Bought Friday's Dip In Amgen https://t.co/rC0MGvBiQH $ABBV $JNJ $NVS $PFE $SNY $SPY $AMGN,SA_EditorPicks,Mon May 02 13:43:49 +0000 2016
727101171630886913,Jefferies 'rose colored glasses' Medivation buyout value hits $90/share $MDVN $AZN $NVS $PFE $AMGN $BAYRY $SN... https://t.co/fBKjCDNqUZ,theflynews,Mon May 02 11:43:22 +0000 2016
727093442103283712,$GNVC $NVS DSMB recommends that the gene therapy hearing loss trial continues (pending FDA approval). https://t.co/S2GGdgSmG8,bradloncar,Mon May 02 11:12:39 +0000 2016
727072223698120704,Dr Pepper Snapple Group: Is The Past Growth And Total Return Overpriced ? https://t.co/lhbFRJq8E0 $BA $DHR $DIS $HD $HOG $JNJ $MO $NVS,Consumer_SA,Mon May 02 09:48:21 +0000 2016
727020564523548673,"DW EOD Data
See Here ---&gt; https://t.co/ELQkE8FCpA

$DW $APC $NVS #tradeideas",thejudgewill451,Mon May 02 06:23:04 +0000 2016
726918275154644992,"ADMP Chart
See Here ---&gt; https://t.co/ybblUSKA6O

$ADMP $NVS $YELP #invest",xfinstocks2016,Sun May 01 23:36:36 +0000 2016
726819436297129984,Crude vs defined CAR Tcell therapy product - summar of current knowledge https://t.co/3dJX1vvmLb #immunotherapy $CLLS $NVS $KITE $JUNO $BLUE,PiescheM,Sun May 01 17:03:51 +0000 2016
726789581157339137,Possibly transformative CRISPR/Cas9 #treatment may start with #orphandisease https://t.co/It3p4A2gSg #innovation $NVS $AZN $EDIT #intellia,AdvancingDerm,Sun May 01 15:05:13 +0000 2016
726745481989230592,everybody knows about #Stemcentrx 10b buyout . who are other stem cells oncology big players? $OMED $VSTM $NVS $AMGN / Micromet r known. but,techwhitepapers,Sun May 01 12:09:59 +0000 2016
726744168870076416,FY2016 Earnings Estimate for Novartis AG Issued By Jefferies Group $NVS https://t.co/qGtB5T2tsE,dailypoliticaln,Sun May 01 12:04:46 +0000 2016
726680625688776704,Novartis AG $NVS Shares Sold by Ameriprise Financial Inc. https://t.co/CwJm7Bm1PU,WKRBNews,Sun May 01 07:52:16 +0000 2016
726561036938027008,$NVS high open interest range is 75.00 to 77.50 for option expiration 05/20/2016.  https://t.co/l7iyyQK8qm https://t.co/UsIDYFqIe4,Maximum_Pain_cm,Sat Apr 30 23:57:04 +0000 2016
726535576132964352,Intellia Therapeutics on deck for IPO https://t.co/3PGXtYq1x4 $NTLA $NVS $EDIT,dhovekamp42,Sat Apr 30 22:15:54 +0000 2016
726500061253750784,$NVS Max Pain is 75.00 for maturity 05/20/2016. Price = 75.97. bearish https://t.co/t9NXtrQj6h https://t.co/uYDAekVhHZ,Maximum_Pain_cm,Sat Apr 30 19:54:46 +0000 2016
726484482694471682,$NVS AstraZeneca's Investment Eats Into Profit… https://t.co/bcGDaLepAk,NASDAQODUK,Sat Apr 30 18:52:52 +0000 2016
726445566310408192,Novartis AG $NVS Forecasted to Earn FY2016 Earnings of $4.94 Per Share https://t.co/0yLYzEZDM5,dakotafinancial,Sat Apr 30 16:18:14 +0000 2016
726443084494446592,"$NVS sum put oi=1,279 sum call oi=2,429 CallPutRatio=0.53 expiration 05/20/2016 bullish. https://t.co/l7iyyQK8qm https://t.co/gEHGX3EGPc",Maximum_Pain_cm,Sat Apr 30 16:08:22 +0000 2016
726440126793048068,Novartis AG $NVS Forecasted to Earn FY2016 Earnings of $4.94 Per Share https://t.co/vkVdQG4M0z,TickerReport,Sat Apr 30 15:56:37 +0000 2016
726439823284785152,Novartis AG $NVS Forecasted to Earn FY2016 Earnings of $4.94 Per Share https://t.co/o8I9Xsttyh,AmericanBanking,Sat Apr 30 15:55:25 +0000 2016
726423495459004421,"Bloomberg: AstraZeneca, Pfizer among those mulling play for Medivation https://t.co/tEHX12GBQI $AZN $PFE $MDVN $NVS",MKucala,Sat Apr 30 14:50:32 +0000 2016
726402496239796224,Why Inflectra may face greater challenges than Zarxio in winning over US docs https://t.co/FYad6OaTWJ $PFE $NVS,BioPharmaDive,Sat Apr 30 13:27:05 +0000 2016
726272451764609024,https://t.co/G9pMgSr1JY &lt; Review of this fantastic traders teaching service!! Try it for FREE! $LLY $DGX $MRK $NVS $AMGN,PorschePicks,Sat Apr 30 04:50:20 +0000 2016
726194986425978880,FY2016 EPS Estimates for Novartis AG $NVS Reduced by Analyst https://t.co/up6PMWOoYq,WKRBNews,Fri Apr 29 23:42:31 +0000 2016
726147311152189440,Intellia Therapeutics on deck for IPO https://t.co/5LiEqVqnjC $NTLA $NVS $EDIT,SEEKINGALPHA_FS,Fri Apr 29 20:33:04 +0000 2016
726147309986172928,Intellia Therapeutics on deck for IPO https://t.co/YSdTBXcdb2 $NTLA $NVS $EDIT,SA_HealthInvest,Fri Apr 29 20:33:04 +0000 2016
726147308698521600,Intellia Therapeutics on deck for IPO https://t.co/RUNTVlwiKH $NTLA $NVS $EDIT,SA_IPOWatch,Fri Apr 29 20:33:04 +0000 2016
726147307272445952,Intellia Therapeutics on deck for IPO https://t.co/lnCMy96cLQ $NTLA $NVS $EDIT,MarketCurrents,Fri Apr 29 20:33:03 +0000 2016
726145197571080192,Healthcare ratings $MDT $CPXX $CLBS $PODD $ALXN $RMD $SYK $JAZZ $RIGL $NVS $MOH $STJ $SRCL $SRPT $PRGO $TROV $CYH https://t.co/shKFNwuaTN,JorelLaraKalel,Fri Apr 29 20:24:40 +0000 2016
